,Type,Post
95,Introvert,its kewl to be a L O N E R 
96,Introvert,i lack S O C I A L S K I L L S 
97,Introvert,if you invite me to go out ill say NOOOOOOOOOOO because im a C O M P L E X M I N D and I love my alone time playing complex videogames and solving intricate puzzles  nice try schnookums but never invite me again because im an I NTROVERT!
98,Introvert,"When some of the friends you've made was the result of ""extraverts adopting you"" as a friend "
99,Introvert,You wear headphones to avoid conversation in public - mainly on public transport or whilst queueing  hehe
100,Introvert,"You reject offers for more friends, since you think you currently have too many."
101,Introvert,When you fake text at a party so no one talks to you.
102,Introvert,"You make plans for dinner with friends but when the day comes, you don't feel like going :blushed:"
103,Introvert,me irl
104,Introvert,When you're so exhausted how social interaction and you want to go home for relax but try to don't say mean things to the others because you're tired.
105,Introvert,xD im an introvert im so Q U I E T
106,Introvert,its kewl to be a L O N E R 
107,Introvert,When you try to intentionally avoid 97% of the population besides the people you like 
108,Introvert,When you try to intentionally avoid 97% of the population besides the people you like 
109,Introvert,What if I told you that 98% of what you just said could also apply to extroverts?
110,Introvert,I'd tell you that that is one of the points of the post
111,Introvert,would you mind sharing the other(s)?
112,Introvert,When you prefer to focus on work rather than socialize with coworkers.
113,Introvert,When you're secretly happy that the plans got canceled.
114,Introvert,When you're with your friend and they invite other people so you just sit there.
115,Introvert,"When you can spend 3 hours in the bathroom flossing yiur teeth, brushing your hair, listening to music/podcast, and and you feel like you had a full night out "
116,Introvert,"Just avoiding everybody. uck,.."
117,Introvert,when you lose energy from being around others rather than gain it lol
118,Introvert,"""We hung out all day today....why do you want to do it again tomorrow? Are you nuts?"""
119,Introvert,"When making plans seems like fun in the moment, but once the conversation is over, you instantly regret it."
120,Introvert,"Or, you only make plans so that you aren't a complete hermit."
121,Introvert,When 95% of your summer break is spent on the Internet.
122,Introvert,"Your weekends comprised of take out, Netflix and cell phone on silent. "
123,Introvert,When you regret making plans after school
124,Introvert,You've eaten lunch at school or work in a bathroom to get some privacy.
125,Introvert,When your boss text you and says the guy your working with cant make it in is that ok and im like ofcourse and that just makes my day.
126,Introvert,Or when your at work and talking to you and you barley respond and start walking away hoping theyl stop talking.
127,Introvert,Or when your at you house in your room 98% of the time and the other 2% is when you need to go get food or go to work. 
128,Introvert,Or when your in your room at home and company comes over and you have to use the bathroom or your hungry but tough it out until they leave or when someone knocks at the door and you pause your game or movie so they cant hear it and just sit there untill you dnt hear them knocking anymore.
129,Introvert,Watching a vlog counts as social interaction to you.
130,Introvert,"When everyone is out, at home, school, or workplace, and you'd so happy to finally have the place all to yourself. While some people feel sorry for you because you'd have to be alone, but you're actually partying internally."
131,Introvert,...when the only other human beings you interact with are the ones you buy food from.
132,Introvert,"When your life routine is, work-home-work-home."
133,Introvert,When you wake up at 5 o'clock in the morning to go to the gym becouse that's the only time of the day when you can be alone while training.
134,Introvert,"When your life routine is, work-home-work-home."
135,Introvert,"Does anyone else get really uncomfortable/awkward when plumbers, electricians etc, have to come and do a job at your house? (*≧ｍ≦*)"
136,Introvert,When every day you have to use a public transportation and you forget your headphones at home is a good candidate for worst day of your life.
137,Introvert,"When everyone is out, at home, school, or workplace, and you'd so happy to finally have the place all to yourself. While some people feel sorry for you because you'd have to be alone, but you're actually partying internally."
138,Introvert,When you spend more time on your laptop than with your best friend.
139,Introvert,You know you're an introvert when you're going about your daily routine and you get freaked out by the sound of receiving a text. You continue what you are doing and plan to answer it later because you are not much of a fan of texting.
140,Introvert,When you feel like yourself the most when you're alone.
141,Introvert,You rather send an e-mail over making a phone call.
142,Introvert,When a unknown number is calling you and you freak out.
143,Introvert,"Am I the only one that sometimes fake not being home, just for the sake of not being social?"
144,Introvert,You know you're an introvert when you actively go out of your way to avoid crowded elevators.
145,Introvert,"When you can't wait to get home and have the house to yourself for a few hours, but when you get home it turns out there are other people home, and your mood is ruined."
146,Introvert,You know you're an introvert when you feel more comfortable talking to cats than humans.
147,Introvert,"Almost one month since I started drawing classes — Have directly talked to two people, out of roughly thirty or so I have seen there, so far and one of the is the instructor. Sometimes I want to talk to others, but most of the time my mindset is ""I came here to learn, not to waste time chatting""."
148,Introvert,"Also, as much as I want to learn, and enjoy learning, there hasn't been one day I didn't hope to get back home as soon as I stepped outside. "
149,Introvert,YKYAIW you wait in your car instead of waiting in line even though more people will inevitably get in line while you are waiting because you want to avoid all the people inside even if it takes longer to get your shit.
150,Introvert,When the amount of time spent inside during winter days is the same during summer days.
151,Introvert,"You know you are an introvert when you don't quite know how to approach a group of people in a public place, not matter how well you may know the people and rehearse in your head how you will go about it."
152,Introvert,"The presence of another body in the same room as you somehow makes you tired, but as soon as they leave your fine."
153,Introvert,"When you drive to a store or someplace public and say 'welpph,...too crowded' and turn around a drive home, no matter how badly you needed an item."
154,Introvert,"When your spouse goes out for the night with friends, because when the baby is asleep, you can finally read a chapter of that book you started months ago."
155,Introvert,You know you are an introvert when you are secretly relieved when plans with people get canceled.
156,Introvert,"When you are more focused on your internal thoughts, rather than external stimulation."
157,Introvert,You know you are an introvert when you are secretly relieved when plans with people get canceled.
158,Introvert,"You know you are an introvert when you don't quite know how to approach a group of people in a public place, not matter how well you may know the people and rehearse in your head how you will go about it."
159,Introvert,"When making plans seems like fun in the moment, but once the conversation is over, you instantly regret it."
160,Introvert,"Or, you only make plans so that you aren't a complete hermit."
161,Introvert,"You know you are an introvert when you don't quite know how to approach a group of people in a public place, not matter how well you may know the people and rehearse in your head how you will go about it."
162,Introvert,You know your Introverted by the unstoppable speed and determination at which you head home from school after being the first out of the gates at hometime! 
163,Introvert,"When you go out of your way to join a new club or learning group that is highly interesting to you - even if your passionate about it, and you drop out after a few weeks!"
164,Introvert,You walk back from town for an hour and a half late at night purely because you know there won't be anyone in the house all day tomorrow.
165,Introvert,You get annoyed at cars driving past whilst you're walking down a dark road because they're interrupting you.
166,Introvert,"It is very frustrating. I am a grown woman and sometimes I still feel like the shy kid in the back of the class, who struggles to talk to others. That said, when it comes to business and serious stuff, I can easily bypass this ""weakness"" of mine, but for casual socialization? Most of the time not approaching a group of people and staying as the lone one is a lot easier."
167,Introvert,When relatives (ESxJ's) pays you unexpected visit and you are not mentally ready to leave your room to even greet them.
168,Introvert,"When relatives pays you a visit and you don't know what to say, and you talk to a dog instead."
169,Introvert,"When after the 9-5 workday of dealing with people, all you want to do is chill and watch Netflix for the rest of the night and not interact with anyone else "
170,Introvert,"When your friend asks to come over and you do, you sleep there 1 night and just want to be home at the end of the day, and your entj buddy doesnt understand why.. :dry:"
171,Introvert,when your walking down the hallway of school or work and see somebody walking toward you and immediately turn around even if it's your best friend.
172,Introvert,When you feel a sort of satisfaction in doing something meaningful and not telling anyone you did it.
173,Introvert,You have a fb profile with about 1400 friends but you shut it down because 15 friend constantly send you PM's?
174,Introvert,You come online and you know it’s trendy and cool to be one
175,Introvert,You'd like to live in Point Nemo
176,Introvert,When you relate to this
177,Introvert,When you relate to this
178,Introvert,View attachment 788898
179,Introvert,"When you have, more than once, heard an unexpected knock on the door and briefly pretended not to exist."
180,Introvert,"When you have, more than once, heard an unexpected knock on the door and briefly pretended not to exist."
181,Introvert,"Only briefly, lol!?"
182,Introvert,"When you only team up with people in online games for the extra experience points (or the equivalent), not because you actually want to share the moment."
183,Introvert,"You can schedule alone time even when you are hosting friends for a whole week. Then, after spending some time alone, you feel so happy and proud of the fact you can be both social and an introvert at the same time."
184,Introvert,"You know you and your best friend are both introverts when you both make a plan, dont say or do anything when the time comes and pretend it never was scheduled and after you have had enough alone time you call each other and talk about how you both faked it and how lovely it was, then eventually end up strengthening your bond without even hanging out :hugs::rolling:"
185,Introvert,You know you’re introvert when your friends plans for all of you to hangout was cancelled and you act like you cared but deep down you’re relieved and happy as hell.
186,Introvert,When you relate to this as much as you find it funny.
187,Introvert,You are home alone. Someone rings the doorbell or the phone rings. You heart sinks...
188,Introvert,When you want to have friends but are more comfortable and happy by yourself
189,Introvert,...when you get a literal heart attack every time you hear the doorbell or a knock to the door.
190,Introvert,"When everyone in your family is an introvert (and lazy) and you enjoy spending time together with them chatting but then spending time on the internet in the same room, playing videogames and eating sweets without planning to do anything specific. "
191,Introvert,I love it!h:
192,Introvert,Lol. So true.
193,Introvert,"You know you are an introvert when at least one time you thought you have Aspergers, Schizoid,... ."
194,Introvert,When ppl are yelling at you and you just smile innocently while coming up with snarky counters for their false arguments in your head 
195,Introvert,People drain you
196,Introvert,When you spend the whole day by yourself doing your own thing and go to bed relaxed because you didn't have to associate with others.
197,Introvert,"You work at WalMart, sign on the register, and already want to get off the second you get on."
198,Introvert,When you fail to follow the extraverts.
199,Introvert,When you hope people don’t notice you and decide to talk because you know it might be exhausting to exchange small talk. Even the thought of it is exhausting!
200,Introvert,"You know you're an introvert when you are perfectly content spending the night drinking tea, reading a book alone and are content to have no interruptions."
201,Introvert,You can relate to this on a spiritual level
202,Introvert,When you forget to text your friend back because you're so focused on what you want to do alone.
203,Introvert,"You may be an introvert if, when forced to leave a voicemail, you suddenly forget how to speak like a normal human being and your voicemail is filled with 'er', 'uh', and possibly a horrifyingly awkward pause.... Or maybe that's just me h:"
204,Introvert,When you forget to text your friend back because you're so focused on what you want to do alone.
205,Introvert,"A few years back I would sometimes tell my mother to tell friends who came to this house that I wasn't present, even though I was. I just didn't want to talk to anyone. I suppose this is more about me being an ass than an introverted."
206,Introvert,when you only leave your house to get something to eat.
207,Introvert,you're leaving a party at someones home and realize that you spent most of your time socializing with the family dog.
208,Introvert,you're leaving a party at someones home and realize that you spent most of your time socializing with the family dog.
209,Introvert,"You put off making a very important phone call because you hate forced interaction, especially on the phone."
210,Introvert,When you avoid going to the hairdressers' because they always seem to want to make conversation and you really don't want to.
211,Introvert,"When going to church, or any large-ish social meeting, becomes a major trial, but you go (at least partly) because you feel you NEED social interaction. By the time you've been there for half an hour, you are just exhausted and can't wait to go home."
212,Introvert,when your extrovert friends just cant understand how come your favourite activity on a friday night is staying at home listening playlists and relaxing.
213,Introvert,You know you're an introvert when creating smalltalk is awkward and painful for you.
214,Introvert,You consider your home as the perfect solitary for you.
215,Introvert,You just wanna chill by yourself at home most of the time and never get bored haha
216,Introvert,"You know you're an introvert when it is a struggle to get your internalized thoughts into words and once you do, they never come out the way you intended them to."
217,Introvert,"You literally do a U turn to avoid having a basic human interction with a person youre not close to, who talks a lot"
218,Introvert,You want to stay in bed or home the entire day doing whatever you want to do without someone telling you what to do.
219,Introvert,You know you're an introvert when you get a feeling of dread when your phone rings.
220,Introvert,"Your culture lacks healthy role models who reflect or exhibit your natural psychological/behavioral tendencies, leading to an identity crisis coupled with a feeling of there being something that's fundamentally wrong with you which can negatively affect and compromise your ability to accept and love yourself, and lead to self-sabotaging or otherwise self-abusive behaviors that can last up to and continue throughout adulthood if you don't receive the (generally lacking) help, guidance and social support that you need."
221,Introvert,When you don't like it when someone randomly comes into your room when you want quiet time.
222,Introvert,You know you're an introvert when creating smalltalk is awkward and painful for you.
223,Introvert,"Your culture lacks healthy role models who reflect or exhibit your natural psychological/behavioral tendencies, leading to an identity crisis coupled with a feeling of there being something that's fundamentally wrong with you which can negatively affect and compromise your ability to accept and love yourself, and lead to self-sabotaging or otherwise self-abusive behaviors that can last up to and continue throughout adulthood if you don't receive the (generally lacking) help, guidance and social support that you need."
224,Introvert,When you don't like it when someone randomly comes into your room when you want quiet time.
225,Introvert,"-You can be heard saying, ""I don't want to people today."""
226,Introvert,-You bring a book or your phone everywhere
227,Introvert,"-You sit alone, and everyone tries to sit with you (because you're ""lonely"") and you just kinda want them to leave."
228,Introvert,You want to have a job at home so you have all of your conveniences without any micromanagement on what you can do.
229,Introvert,"Your culture lacks healthy role models who reflect or exhibit your natural psychological/behavioral tendencies, leading to an identity crisis coupled with a feeling of there being something that's fundamentally wrong with you which can negatively affect and compromise your ability to accept and love yourself, and lead to self-sabotaging or otherwise self-abusive behaviors that can last up to and continue throughout adulthood if you don't receive the (generally lacking) help, guidance and social support that you need."
230,Introvert,You want a job that doesn't have to deal with angry customers.
231,Introvert,when this is your result from this test
232,Introvert,How Do Others See You - PlayBuzz
233,Introvert,Super Shy
234,Introvert,"Others see you as the quiet type who would rather play it safe than take a risk. You seem to enjoy your quaint solitude and take initiative to have plenty of ""you time."" However, while you are not necessarily unapproachable, if you want to truly shock your daily acquaintances, pick up a new, daring hobby, or even be the first to start the conversation with stranger."
235,Introvert,When you're super quiet around the group and even one-on-one conversations.
236,Introvert,I must have been in a bad mood when I took that test.
237,Introvert,You listen way more than you talk.
238,Introvert,When you are tired of society and just want to live a quiet comfortable life without needing to be the rat on the wheel in the 9 to 5 corporate hell.
239,Introvert,When you pay extra to get a college dorm with a private bedroom.
240,Introvert,"When you don't want to go to that party, but you still want to be invited lol."
241,Introvert,"When you don't want to go to that party, but you still want to be invited lol."
242,Introvert,"You're with a group of people and start daydreaming/thinking in your head for fun, while not paying attention to the people around you."
243,Introvert,"When people in your office see you come out to use the restroom at 3 pm and say ""Oh, I didn't even know you were here!"""
244,Introvert,"When you keep your door closed despite being a littler warmer than you prefer, to keep away from all the extroverting."
245,Introvert,"When your only answer to the above behavior is that you genuinely enjoy your coworkers but you are just ""in the zone."""
246,Introvert,You finally retire to a place so remote that a passing vehicle is an oddity that it gets your attention.
247,Introvert,"You hate the sound of a ringing telephone so much that you want to tear it off the wall and throw it out the window. A phone call means you have to talk to someone, and that usually means trouble."
248,Introvert,Your best friend could be someone’s ashes in an urn.
249,Introvert,You make a list of requirements when seeking a spouse. Number one is they be mute or comatose.
250,Introvert,Sleeping alone is more of the biggest relax-ment than chilling with other people chilling.
251,Introvert,"You charge your mind battery when you're alone, not when you're hanging out with friends. "
252,Introvert,"You just keep finding new stuff to do in your room, it being either the most stupid thing or the most interesting thing."
253,Introvert,"You went to a party yesterday and your friends are already thinking of the next one, but what you're thinking of is the month you will need to recover from that one."
254,Introvert,"When you make plans in a more social mood, but immediately regret it and dread the planned event as it nears."
255,Introvert,"You know you are an introvert when you like sitting under the sun and swimming on and off and then going home and play the DOOM V, and then you go to work and you feel like ""f#4k you people, you are all wrong, "" and then you do the job again, and then you go around and thinking of chess, and gaming, after feeding your child, dance with her, watch films with her, play the piano, which will put her to sleep eventually, and then you go back playing games, and then you wake up, and start again, independent"
256,Introvert,"I have been in this situation so many times that was an insight, thanks"
257,Introvert,You relate to this:
258,Introvert,When you don't want to leave home for the rest of eternity.
259,Introvert,"You hear all of you roommates laughing loudly upstairs and forego even getting a snack in the kitchen so you can avoid them, so you can drink wine, listen to classic rock and watch horror movies in peace."
260,Introvert,You know you're an introvert when a nightclub to you is like a church is to Lucifer
261,Introvert,You have more I than E
262,Introvert,You choose going for a long positive walk instead of meeting people in town.
263,Introvert,When you let a friend stay at your house for months and they complain that you are in your room too much.
264,Introvert,People exhaust you.
265,Introvert,you know youre an introvert when your idea of a romantic evening is when you and your partner read books quietly to yourselves together.
266,Introvert,When you haven’t seen your sister in a couple months. She visits where you are staying and you both tell the hosts you are going to my room to get some sister time since we haven’t seen each other in so long. We both drop on the bed and fall asleep. Hehe
267,Introvert,You break from tradition and reply to a thread on Personality Cafe instead of spending the night on Facebook and talking with your closest friends and people that you have mbti traits in common with in a similar channel
268,Introvert,You relate to this:
269,Introvert,When you don't talk often except with close friends and family.
270,Introvert,When I can spot you stand still at a party and I need to dance in front of you to get your attention
271,Introvert,When the worst thing about being in the hospital is someone coming in every two minutes asking how you're doing and if you're okay.
272,Introvert,You pretend you don't hear someone and walk into a random store when somebody is trying to get your attention in public
273,Introvert,People tell you to get out more
274,Introvert,You know you're an introvert when a nightclub to you is like a church is to Lucifer
275,Introvert,When you don't talk often except with close friends and family.
276,Introvert,:smug: Who else IS there?
277,Introvert,Is that a serious question or are you just being an introvert?
278,Introvert,"When you budget time spent socializing as carefully a poor, elderly widow budgets her groceries."
279,Introvert,Semi-serious.
280,Introvert,"For my particular life, I ""KNOW"" very few people. My family, near and far, is very small. I don't count Doctors and nurses, Shopkeepers... Cafe managers, waitresses. I mean, acquaintances but not friends."
281,Introvert,When you want to be left alone to switch off... to recharge... to enjoy the moment... to do what you want in solo mode and then you get aggravated when someone keeps invading your space... Just do it one more time... I dare ya (Death stare) lol.
282,Introvert,When you prefer not having friends.
283,Introvert,You abused the sentence ''I already have plans'' and hope to God the person doesn't follow up with ''Like what?''
284,Introvert,When you work independently
285,Introvert,"When invited over to a friend's, you look forward to the car rides there and back (alone with music as loud as you want) the most."
286,Introvert,"When you budget time spent socializing as carefully a poor, elderly widow budgets her groceries."
287,Introvert,"When invited over to a friend's, you look forward to the car rides there and back (alone with music as loud as you want) the most."
288,Introvert,When you suddenly realize you haven't spoken to anyone irl for a week..
289,Introvert,"when you join a new forum, decide to cook steak, on the bbq, and are happy eating it at the computer reading the posts"
290,Introvert,You know you're an Introvert when your weekends rarely involve getting out of your pyjamas!
291,Introvert,I would choose to have a few good friends rather than many regular acquaintances. I'm an Introvert. :smug:
292,Introvert,I would choose to have a few good friends rather than many regular acquaintances. I'm an Introvert. :smug:
293,Introvert,When you stay up till the middle of the night over and over because you seem to get all your energy then - and then wonder if you do this because everyone else is sleeping and no one is going to bother you at 4am?
294,Introvert,When you stay up till the middle of the night over and over because you seem to get all your energy then - and then wonder if you do this because everyone else is sleeping and no one is going to bother you at 4am?
295,Introvert,"circadian rythms, for sure, also, you are you. when i did programming in school back in 2002, i had my best work at 2-3 am."
296,Introvert,"and also, you prefer that you may encounter less people at night"
297,Introvert,thank you for those words 
298,Introvert,"her name is Mina, i am learning so much patience via her, which helps me in turn deal with the surface people"
299,Introvert,"1.when walking the trails with your dog, you see people coming and you scan to see all, if any, possible exits, side trails, etc. to take to avoid"
300,Introvert,or 
301,Introvert,"2. when you are socially awkward in the trails, talk to people, see a look in their face, realize what you said after (not bad or anything, just ""out there""), that you don't even know why you said it."
302,Introvert,"When an introvert accepts you in their circle of friends, you can be sure that you are special to them. This is a trait that I really like about introverts. :smug:"
303,Introvert,"When an introvert accepts you in their circle of friends, you can be sure that you are special to them. This is a trait that I really like about introverts. :smug:"
304,Introvert,"When you go to an appointment at a place you've never been before, and you enter the waiting room and give a slight smile of relief and relax a little because you're the only one there."
305,Introvert,When i can cook all alone in the kitchen without any roomates asking what am i cooking and i have to make small talk to them so they don't think I'm unfriendly person
306,Introvert,Quarantine doesn't affect you that much.
307,Introvert,"Heck, when quarantine seems like an extended stay in Heaven. No pressure to socialize, solitude in spades, and even the luxury of grocery store delivery is justifiable. Gotta love those awkward moments in the checkout line..."
308,Introvert,-Literally screaming when 3 or more people message at me once 
309,Introvert,"-Hiding from people I know at stores, which made my mom very angry when I was younger"
